gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
895555034	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662974			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008369				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF06			Europe	Rauwput				BE					RauwputSchietfuik6												51.22339	5.19762	WGS84	250				212929	207904	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555031	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662993			Gerlinde Van Thuyne		2													present																				INBO:VIS:Ev:00008371				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF20			Europe	Rauwput				BE					RauwputSchietfuik20												51.22630	5.19122	WGS84	250				213248	207454	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555030	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662964			Gerlinde Van Thuyne		3													present																				INBO:VIS:Ev:00008368				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF12			Europe	Rauwput				BE					RauwputSchietfuik12												51.22683	5.18975	WGS84	250				213306	207350	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555021	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662982			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008363				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF14			Europe	Rauwput				BE					RauwputSchietfuik14												51.22925	5.19467	WGS84	250				213579	207691	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555002	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00675710			Gerlinde Van Thuyne		4													present																				INBO:VIS:Ev:00008473				2013-08-12							2013-08-12/2013-08-12	stream or river				"{""numberOfFykes"":4, ""numberOfDays"":1}"			visbestanden:53014200			Europe	Kleine Nete				BE					Retie, aan oude molen (tss 53014300 en 53014190)												51.24392	5.05258	WGS84	250				215110	197751	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555001	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00660574			Gerlinde Van Thuyne		2													present																				INBO:VIS:Ev:00008377				2013-07-08							2013-07-08/2013-07-08	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:GKDF12			Europe	Grindplas Kessenich				BE					Fuik 12												51.14838	5.84546	WGS84	250				205289	253324	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895555000	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00660316			Gerlinde Van Thuyne		4													present																				INBO:VIS:Ev:00008387				2013-07-08							2013-07-08/2013-07-08	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:GKDF3			Europe	Grindplas Kessenich				BE					Fuik 3												51.15042	5.83606	WGS84	250				205502	252662	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895554999	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00673967			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008376				2013-07-08							2013-07-08/2013-07-08	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:GKDF20			Europe	Grindplas Kessenich				BE					Fuik 20												51.14410	5.84490	WGS84	250				204812	253294	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895554998	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00662903			Gerlinde Van Thuyne		1													present																				INBO:VIS:Ev:00008360				2013-11-12							2013-11-12/2013-11-12	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:RPF17			Europe	Rauwput				BE					RauwputSchietfuik17												51.22125	5.18872	WGS84	250				212684	207285	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
895554997	http://www.inbo.be/en/norms-for-data-use			http://creativecommons.org/publicdomain/zero/1.0/				INBO				https://doi.org/10.15468/gzyxyd	INBO	VIS	VIS - Fishes in inland waters in Flanders, Belgium		HumanObservation	Length and weight measurements available upon request.			INBO:VIS:00660338			Gerlinde Van Thuyne		4													present																				INBO:VIS:Ev:00008375				2013-07-08							2013-07-08/2013-07-08	enclosed water				"{""numberOfFykes"":1, ""numberOfDays"":2}"			visbestanden:GKDF6			Europe	Grindplas Kessenich				BE					Fuik 6												51.14713	5.83882	WGS84	250				205140	252862	Belgian Lambert 72	Belgium Datum 1972																															Gerlinde Van Thuyne				validated										Orconectes limosus								Animalia																			gevlekte Amerikaanse rivierkreeft	ICZN			
