Volgorde;Locatiecode;Locatie;Latitude;Longitude;Watertype;Filter;Hoeveelheid water gefilterd (ml);Datum;Tijdsstip;Gewest;Beheerder;Vallen gelegd;Opmerkingen;Verwachte soort(en);Target+IPC check;Niet bemonsterd;;;;;;;;;;;;;;
11;CRDG11;Rue de l'Hopital;50.5436;4.5335;Vijver;STF1028;650;26/06/2025;14:20;Wallonië;Privé vijver;;;Niet gekend;Pole_COI 60;;;;;;;;;;;;;;;
12;CRDG9;Rue du Marais visvijver;50.5667;4.5024;Vijver;STF1029;800;26/06/2025;13:05;Wallonië;Privé visvijver;;;Niet gekend;Pole_COI 60;;;;;;;;;;;;;;;
13;CRDG10;Rue de la station visvijver;50.5536;4.5488;Vijver;STF1030;3350;26/06/2025;15:00;Wallonië;Privé;;Vijver leeggemaakt in jan 2025;Geen (had onbekende soort rivierkreeft, eigenaar heeft de vijver volledig leeggelaten en uitgegraven begin 2025);Pole_COI 60;;;;;;;;;;;;;;;
14;CRS7;Paradis;50.673452;4.365788;Vijver;STF1034;750;25/06/2025;13:50;Wallonië;Commune;;;Pontastacus leptodactylus (in 2023 maar 1 individu gevangen);Pole_COI 60;;;;;;;;;;;;;;;
15;CRS5;Etang Parc de l'Alliance;50.671636;4.376097;Vijver;STF1035;1000;25/06/2025;14:25;Wallonië;Parc de l'Alliance/commune;;;Geen (niets gevangen in vallen in 2024);Pole_COI 60;;;;;;;;;;;;;;;
16;CRS9;Parc d'Allience;50.665856;4.38236;Vijver;STF1036;900;25/06/2025;15:20;Wallonië;Parc d'Allience;;;Niet gekend;Pole_COI 60;;;;;;;;;;;;;;;
17;CRS3;Etang Eleonore Nolf;50.600056;4.303994;Vijver;STF1037;1650;25/06/2025;16:40;Wallonië;Privé (Eleonore Nolf);;Vanaf deze locatie instelling boor aangepast, pompt nu veel beter;Pontastacus leptodactylus (gekend);Pole_COI 60;;;;;;;;;;;;;;;
18;ANB1;Frankveld;50.778694;4.317472;Vijver;STF1038;1800;30/06/2025;9:55;Vlaanderen;ANB;;;Faxonius limosus;Fali_COI 60;;;;;;;;;;;;;;;
19;VMM8;Groot wachtbekken;"50.7834651
";4.2418376;Vijver;STF1039;1150;30/06/2025;12:50;Vlaanderen;VMM;;Zijde beek niet toegankelijk;Niet gekend;Fali_COI 60;;;;;;;;;;;;;;;
20;VMM17;Zennebeemden;50.7734306;4.3025547;Stromend;STF1040;6200;30/06/2025;11:30;Vlaanderen;VMM;;Extra water moeten gaan scheppen;Niet gekend;Fali_COI 60;;;;;;;;;;;;;;;
21;VMM9;Klein wachtbekken;50.7930557;4.2689815;Vijver;STF1041;1600;30/06/2025;14:30;Vlaanderen;VMM;;Zijde beek niet toegankelijk;Niet gekend;Fali_COI 60;;;;;;;;;;;;;;;
22;CRDG3;Etang de Wisterzee;50.649866;4.563394;Vijver;STF1042;2900;01/07/2025;9:50;Wallonië;Mathieu Tubiermont ProvinceBW;ja;;Geen (niets gevangen in onze vallen);Fali_COI 60;;;;;;;;;;;;;;;
23;CRDG4;Scavée du Biérau;50.665102;4.617759;Vijver;STF1043;550;01/07/2025;11:00;Wallonië;UCL;ja;;Geen (niets gevangen in onze vallen);Fali_COI 60;;;;;;;;;;;;;;;
24;CRDG7;Cours d'eau la Dyle;50.672368;4.573521;Stromend;STF1044;4350;01/07/2025;14:30;Wallonië;Gestionnaire cours d'eau SPW;;;Pacifastacus leniusculus (met elektrisch vissen bevestigd in mei 2025);Pole_COI 60;;;;;;;;;;;;;;;
25;CRDG2;Lac de LLN;50.666641;4.604926;Vijver;STF1045;3150;01/07/2025;12:15;Wallonië;UCL;;;Procambarus clarkii (gekend);Pole_COI 60;;;;;;;;;;;;;;;
26;CRDG1;Hèze;50.716634;4.71768;Vijver;STF1046;1400;02/07/2025;9:50;Wallonië;Privé;;Vijver ongeveer 1,5 jaar geleden leeggemaakt omwillen van rode Amerikaanse rivierkreeft;Procambarus clarkii (vijver 1,5 jaar geleden drooggelegd voor eradicatie, mogelijks weg);Pole_COI 60;;;;;;;;;;;;;;;
27;ANB8;Grootbroek;50.789194;4.640833;Vijver;STF1047;1000;02/07/2025;12:20;Vlaanderen;ANB;;;Niet gekend (in het verleden niets gevangen in een val);Pole_COI 60;;;;;;;;;;;;;;;
28;VMM13;Ijse;50.805907;4.607428;Stromend;STF1048;5900;02/07/2025;15:10;Vlaanderen;VMM;;;Niet gekend;Pole_COI 60;;;;;;;;;;;;;;;
